,Close
2018-06-25/2018-07-01,30.48499933878581
2018-07-02/2018-07-08,30.159333801269533
2018-07-09/2018-07-15,30.653332901000976
2018-07-16/2018-07-22,31.595333862304688
2018-07-23/2018-07-29,31.63933334350586
2018-07-30/2018-08-05,30.569333267211913
2018-08-06/2018-08-12,30.879333877563475
2018-08-13/2018-08-19,30.826000213623047
2018-08-20/2018-08-26,31.105999755859376
2018-08-27/2018-09-02,31.686111132303875
2018-09-03/2018-09-09,31.527333068847657
2018-09-10/2018-09-16,30.750666427612305
2018-09-17/2018-09-23,29.972000122070312
2018-09-24/2018-09-30,29.049333572387695
2018-10-01/2018-10-07,28.677999877929686
2018-10-08/2018-10-14,27.40199966430664
2018-10-15/2018-10-21,26.883333587646483
2018-10-22/2018-10-28,27.416666412353514
2018-10-29/2018-11-04,28.70800018310547
2018-11-05/2018-11-11,30.05799980163574
2018-11-12/2018-11-18,29.33066635131836
2018-11-19/2018-11-25,29.253333282470702
2018-11-26/2018-12-02,30.10277779897054
2018-12-03/2018-12-09,30.0466667175293
2018-12-10/2018-12-16,29.03066635131836
2018-12-17/2018-12-23,27.501333236694336
2018-12-24/2018-12-30,26.265999221801756
2018-12-31/2019-01-06,26.994000244140626
2019-01-07/2019-01-13,26.707333374023438
2019-01-14/2019-01-20,27.340666198730467
2019-01-21/2019-01-27,28.129999923706055
2019-01-28/2019-02-03,28.932666778564453
2019-02-04/2019-02-10,28.972000503540038
2019-02-11/2019-02-17,29.145333099365235
2019-02-18/2019-02-24,29.384666442871094
2019-02-25/2019-03-03,30.373333358764647
2019-03-04/2019-03-10,29.064666748046875
2019-03-11/2019-03-17,28.028667068481447
2019-03-18/2019-03-24,27.998666763305664
2019-03-25/2019-03-31,28.737333679199217
2019-04-01/2019-04-07,29.632000350952147
2019-04-08/2019-04-14,29.252666854858397
2019-04-15/2019-04-21,29.893334197998048
2019-04-22/2019-04-28,29.857333374023437
2019-04-29/2019-05-05,30.689999771118163
2019-05-06/2019-05-12,30.552666473388673
2019-05-13/2019-05-19,30.270666122436523
2019-05-20/2019-05-26,30.129999923706055
2019-05-27/2019-06-02,30.126111030578613
2019-06-03/2019-06-09,31.446667098999022
2019-06-10/2019-06-16,31.90199966430664
2019-06-17/2019-06-23,32.2413330078125
2019-06-24/2019-06-30,32.121334075927734
2019-07-01/2019-07-07,33.380000305175784
2019-07-08/2019-07-14,34.25066604614258
2019-07-15/2019-07-21,34.33466720581055
2019-07-22/2019-07-28,33.1020004272461
2019-07-29/2019-08-04,32.362666320800784
2019-08-05/2019-08-11,32.20866737365723
2019-08-12/2019-08-18,32.289332962036134
2019-08-19/2019-08-25,33.02000045776367
2019-08-26/2019-09-01,33.05111122131348
2019-09-02/2019-09-08,33.704000091552736
2019-09-09/2019-09-15,33.1793327331543
2019-09-16/2019-09-22,33.79933395385742
2019-09-23/2019-09-29,33.752000427246095
2019-09-30/2019-10-06,32.67000122070313
2019-10-07/2019-10-13,32.75266647338867
2019-10-14/2019-10-20,32.752000427246095
2019-10-21/2019-10-27,33.11666717529297
2019-10-28/2019-11-03,33.095333862304685
2019-11-04/2019-11-10,33.20800018310547
2019-11-11/2019-11-17,34.33999938964844
2019-11-18/2019-11-24,34.96533432006836
2019-11-25/2019-12-01,34.86500040690104
